Lugar,Lluvia Total (mm),Temp Media (°C)
Santiago de Compostela,1792.9,14.247808219178083
A Coruña,1648.1999999999991,15.325890410958912
Vigo,2188.999999999999,16.00013698630137
Lugo,1294.8,13.32013698630137
Ourense,1502.9999999999998,15.857808219178082
